Name,Kurzname,Beschreibung,Farbe,Grad,FirstFound,FirstAscent,Lat,Lon
Buga-Park Rutschenturm Seite,buga_rutschen_seite,"A) Von der Treffe starten, unterm Netz entlang bis zu den Kletterrouten",3,,,,52.418799727556,13.0533419066541
,,B) Kletterrouten mit selbst-definierten Griffen und Tritten bis Absprunghöhe,2,,,,,
Buga-Park Rutschenturm Vorne,buga_rutschen_vorne,"A) Unterm Netz, über Treppe und Rutschen ohne Bodenberührung",4,,,,52.4187338849686,13.0534022563569
Buga-Park Rutschenturm Innen,buga_rutschen_innen,A) Säule runter,3,,,,52.4188111784308,13.0534753465526
,,B) Säule hoch,4,,,,,
,,C) Netz hoch und an Treppe entlang hoch,4,,,,,
Buga-Park Rutschenturm Oben,buga_rutschen_oben,A) Im Turm vom rechten Rutscheneingang an der Wand entlang über Abgrund und Treppe runter bis zum Ende der Wandlöcher,4,,,,52.4187776437178,13.0534820520751
Buga-Park Skate-Park Haus,buga_skate_haus,A) Aufs Häuschen und die Brücke darüber hoch,4,,,,52.4192988861718,13.0450202175464
,,"B) Aufs Häuschen, nur mit Türscharnieren",5,,,,,
Buga-Park Skate-Park Brücke,buga_skate_bruecke,A) Brückenpfeiler und auf Brücke hoch,5,,,,52.4192014603222,13.0451367619545
Buga-Park Skate-Park Halfpipe,buga_skate_halfpipe,A) Unter Halfpipe-Plattform von einer Seite auf die andere ohne Bodenberührung,4,,,,52.4191101616891,13.0451528370453
Buga-Park Skate-Park Wand,buga_skate_wand,A) In weniger senkrechtem Wand-Riss nach oben schieben und auf Mauer aussteeigen,4,,,,52.4189931275912,13.0455557190078
,,B) In steilerem Wand-Riss nach oben schieben und auf Mauer aussteeigen,5,,,,,
Buga-Park Biosphäre,buga_biosphaere,A) Schräge rechts nach oben,2,,,,52.41888058469,13.0492327717496
,,B) Schräge mittig bis oben,4,,,,,
,,C) Aus Höhle über Tür nach oben über Geländer (ohne Türklinke!),5,,,,,
Buga-Park Café,buga_cafe,A) Traverse,3,,,,52.4186571892586,13.0443362904022
,,B) Nach oben,4,,Oli,Samuel,,
,,C) Nach oben in Ecke,5,,Oli,David,,
Westufer Bogen,westufer_bogen,A) Um das sanft abfallende Bogenende horizontal herum klettern (beide Richtungen),3,,,,52.38971,13.03683
,,B) Um das steil abfallende Bogenende horizontal herum klettern (beide Richtungen),4,,,,,
,,C) Den Bogen von einem zum anderen Ende entlang (oben drauf oder unten drunter),4,,,,,
Westufer Brücke,westufer_bruecke,"A) Vom Ufer, unter der Brücke, übers Wasser, an der Seite und übers Geländer aussteigen",3,,,,52.38981,13.03504
,,B) Wie A aber unter der ganzen Brücke entlang,4,,,,,
Ruinenberg Pyramide,ruinen_pyramide,A) Flachere Seiten mit Kante,3,x,,,52.40963,13.03834
,,B) Flachere Seiten ohne Kante,4,x,,,,
,,C) Steilere Seiten mit Kante,4,x,,,,
,,D) Steilere Seiten ohne Kante,5,x,,,,
Ruinenberg Mauer,ruinen_mauer,A) Rechts hoch an Schräge und austoppen,3,x,,,52.40948,13.03883
,,B) Traverse rechts-links,4,x,,,,
,,C) Traverse links-rechts,4,x,,,,
,,D) Mittig an der Mauer hoch (ohne Metall-Regenrinne!),5,x,,,,
Ruinenberg Kegel,ruinen_kegel,A) Siehe Link,?,,,,52.41011,13.03872
Orangerie Brücke,orange_bruecke,A) Siehe Link,?,,,,52.40364,13.02927
